NAME,ADDRESS,STATE,ZIP,TYPE,COUNTY,LATITUDE,LONGITUDE,PT_ENROLL,FT_ENROLL,TOT_ENROLL,TOT_EMPLOY,NAICS_DESC,EMPLOYEE/STUDENT RATIO,INCOME,POPULATION
Middle Georgia Technical College,80 Cohen Walker Dr,GA,31088,public,Houston,32.545733,-83.667983,2139,1339,3478,357,Junior Colleges,9.742296918767506,"50,190","10,617,423"
Kennesaw State University,1000 Chastain Rd,GA,30144,public,Cobb,34.03629,-84.58083,6792,17722,24514,2984,"Colleges, Universities, and Professional Schools",8.21514745308311,"50,190","10,617,423"
LaGrange College,601 Broad Street,GA,30240,private non-profit,Troup,33.039208,-85.043604,66,836,902,211,"Colleges, Universities, and Professional Schools",4.274881516587678,"50,190","10,617,423"
Lanier Technical College,2990 Landrum Education Dr,GA,30566,public,Hall,34.235819,-83.864094,2500,900,3400,507,Junior Colleges,6.70611439842209,"50,190","10,617,423"
Chattahoochee Technical College,980 S Cobb Drive Dr SE,GA,30060,public,Cobb,33.929093,-84.552492,7962,3727,11689,936,Junior Colleges,12.488247863247864,"50,190","10,617,423"
Herzing University-Atlanta,"3393 Peachtree Road, Suite 1003",GA,30326,private for profit,Fulton,33.846627,-84.362635,155,298,453,77,"Colleges, Universities, and Professional Schools",5.883116883116883,"50,190","10,617,423"
North Georgia Technical College,1500 Georgia Hwy 197 N,GA,30523,public,Habersham,34.63853,-83.529592,1323,1081,2404,314,Junior Colleges,7.656050955414012,"50,190","10,617,423"
Portfolio Center,125 Bennett St NW,GA,30309,private for profit,Fulton,33.812116,-84.396182,0,96,96,8,Other Technical and Trade Schools,12.0,"50,190","10,617,423"
Reinhardt University,7300 Reinhardt Circle,GA,30183,private non-profit,Cherokee,34.318874,-84.554657,96,1161,1257,368,"Colleges, Universities, and Professional Schools",3.4157608695652173,"50,190","10,617,423"
Savannah College of Art and Design,342 Bull St,GA,31402,private non-profit,Chatham,32.077439,-81.100234,2096,8968,11064,973,"Colleges, Universities, and Professional Schools",11.371017471736897,"50,190","10,617,423"
South Georgia Technical College,900 South GA Tech Parkway,GA,31709,public,Sumter,32.116663,-84.188321,1087,925,2012,257,Junior Colleges,7.828793774319066,"50,190","10,617,423"
The Creative Circus,812 Lambert Dr,GA,30324,private for profit,Fulton,33.813156,-84.361989,31,282,313,121,Other Technical and Trade Schools,2.5867768595041323,"50,190","10,617,423"
Southwest Georgia Technical College,15689 US Hwy 19 North,GA,31792,public,Thomas,30.863799,-83.9514,1215,430,1645,211,Junior Colleges,7.796208530805687,"50,190","10,617,423"
Young Harris College,1 College Street,GA,30582,private non-profit,Towns,34.93316,-83.847765,35,999,1034,247,Junior Colleges,4.186234817813765,"50,190","10,617,423"
Southeastern Beauty School-Columbus North Lumpkin,3535 Macon Road,GA,31907,private for profit,Muscogee,32.486095,-84.935514,0,117,117,17,Cosmetology and Barber Schools,6.882352941176471,"50,190","10,617,423"
Georgia Institute of Cosmetology,3529 Atlanta Hwy,GA,30606,private for profit,Clarke,33.936922,-83.455565,188,127,315,33,Cosmetology and Barber Schools,9.545454545454543,"50,190","10,617,423"
Sanford-Brown College-Atlanta,1140 Hammond Dr Ste A-1150,GA,30328,private for profit,Fulton,33.919927,-84.34924,45,434,479,64,Junior Colleges,7.484375,"50,190","10,617,423"
Gwinnett College-Sandy Springs,6690 Roswell Road NE  Ste. 2200,GA,30328,private for profit,Fulton,33.937502,-84.381268,70,46,116,24,Other Technical and Trade Schools,4.833333333333333,"50,190","10,617,423"
Ogeechee Technical College,One Joseph E. Kennedy Blvd,GA,30458,public,Bulloch,32.395767,-81.818517,1353,882,2235,253,Junior Colleges,8.83399209486166,"50,190","10,617,423"
Everest Institute-Jonesboro,6431 Tara Blvd,GA,30236,private for profit,Clayton,33.577006,-84.375195,0,408,408,61,Other Technical and Trade Schools,6.688524590163935,"50,190","10,617,423"
Fortis College,2108 Cobb Parkway,GA,30080,private for profit,Cobb,33.901335,-84.488628,0,516,516,98,Junior Colleges,5.26530612244898,"50,190","10,617,423"
American InterContinental University-Atlanta,"6600 Peachtree Dunwoody Road, 500 Embassy Row",GA,30328,private for profit,Fulton,33.936128,-84.355243,873,781,1654,165,"Colleges, Universities, and Professional Schools",10.024242424242424,"50,190","10,617,423"
Everest Institute-Decatur,"2460 Wesley Chapel Rd, Ste 25A",GA,30035,private for profit,DeKalb,33.838454,-84.32438,2,126,128,28,Junior Colleges,4.571428571428571,"50,190","10,617,423"
Aviation Institute of Maintenance-Atlanta,2025 Satellite Pointe,GA,30096,private for profit,Gwinnett,33.97441,-83.965368,31,469,500,74,Flight Training,6.756756756756757,"50,190","10,617,423"
Empire Beauty School-Kennesaw,"425 Ernest Barrett Pkwy, Suite 1120",GA,30144,private for profit,Cobb,34.011112,-84.562798,52,134,186,13,Cosmetology and Barber Schools,14.307692307692308,"50,190","10,617,423"
Lincoln College of Technology-Marietta,2359 Windy Hill Road,GA,30067,private for profit,Cobb,33.904619,-84.483943,0,278,278,38,Junior Colleges,7.315789473684211,"50,190","10,617,423"
Academy of Somatic Healing Arts,6251 Smithpointe Dr,GA,30092,private for profit,Gwinnett,33.930628,-84.262395,2,89,91,7,Fine Arts Schools,13.0,"50,190","10,617,423"
Brown Mackie College-Atlanta,4370 Peachtree Dunwoody Rd NE,GA,30319,private for profit,Fulton,33.9375,-84.354843,0,889,889,111,Junior Colleges,8.00900900900901,"50,190","10,617,423"
Laurus Technical Institute,523 Church Street,GA,30030,private for profit,DeKalb,33.776491,-84.294533,0,258,258,64,Other Technical and Trade Schools,4.03125,"50,190","10,617,423"
Fayette Beauty Academy Inc,386 N Glynn St,GA,30214,private for profit,Fayette,33.455874,-84.455909,0,35,35,5,Cosmetology and Barber Schools,7.0,"50,190","10,617,423"
Toni & Guy Hairdressing Academy-Atlanta,"1355 Roswell Rd, Suite 150",GA,30062,private for profit,Cobb,33.952158,-84.51407,0,74,74,12,Cosmetology and Barber Schools,6.166666666666667,"50,190","10,617,423"
Everest Institute-Marietta,"1600 Terrell Mill Road, Suite G",GA,30067,private for profit,Cobb,33.913158,-84.481765,0,400,400,39,Other Technical and Trade Schools,10.256410256410255,"50,190","10,617,423"
Argosy University-Atlanta,"980 Hammond Drive, Building 2, Suite 100",GA,30328,private for profit,Fulton,33.920309,-84.355456,1040,1411,2451,307,"Colleges, Universities, and Professional Schools",7.98371335504886,"50,190","10,617,423"
Southeastern Technical College,3001 E First St,GA,30474,public,Toombs,32.20393,-82.365827,1276,467,1743,248,Junior Colleges,7.028225806451613,"50,190","10,617,423"
Empire Beauty School-Dunwoody,4719 Ashford-Dunwoody Rd Suite 205,GA,30338,private for profit,DeKalb,33.933413,-84.335672,35,142,177,11,Cosmetology and Barber Schools,16.09090909090909,"50,190","10,617,423"
Michael's School of Beauty,"1325 Augusta West Parkway, Suite C",GA,30909,private for profit,Bibb,32.849697,-83.62566,9,18,27,5,Cosmetology and Barber Schools,5.4,"50,190","10,617,423"
Cobb Beauty College Inc,3096 Cherokee St,GA,30144,private for profit,Cobb,34.029017,-84.608808,0,33,33,9,Cosmetology and Barber Schools,3.6666666666666665,"50,190","10,617,423"
Vogue Beauty School,3655 MacLand Rd,GA,30141,private for profit,Paulding,33.909059,-84.746624,0,114,114,11,Cosmetology and Barber Schools,10.363636363636363,"50,190","10,617,423"
University of Phoenix-Atlanta Campus,8200 Roberts Dr,GA,30350,private for profit,Fulton,33.979979,-84.34155,0,1640,1640,276,"Colleges, Universities, and Professional Schools",5.942028985507246,"50,190","10,617,423"
Interactive College of Technology-Gainesville,2323-C Browns Bridge Rd,GA,30504,private for profit,Hall,34.276597,-83.855524,0,37,37,13,Junior Colleges,2.8461538461538463,"50,190","10,617,423"
Rivertown School of Beauty Barber Skin Care and Nails,4747 E Hamilton Road,GA,31904,private for profit,Muscogee,32.509451,-84.970785,0,225,225,28,Cosmetology and Barber Schools,8.035714285714286,"50,190","10,617,423"
Atlanta Institute of Music,"2875 Breckinridge Blvd., Suite 700",GA,30096,private for profit,Gwinnett,33.960695,-84.105044,68,125,193,40,Fine Arts Schools,4.825,"50,190","10,617,423"
Oconee Fall Line Technical College,1189 Deepstep Rd,GA,31082,public,Washington,32.996687,-82.839621,1279,514,1793,416,Junior Colleges,4.310096153846154,"50,190","10,617,423"
ITT Technical Institute-Duluth,10700 Abbotts Bridge Rd-Ste 190,GA,30097,private for profit,Fulton,34.042875,-84.176526,227,441,668,84,"Colleges, Universities, and Professional Schools",7.952380952380952,"50,190","10,617,423"
Donna's Academy of Hair Design,14454 North US Highway 169,MO,64089,private for profit,Clay,39.355842,-94.584916,0,45,45,7,Cosmetology and Barber Schools,6.428571428571429,"57,946","6,137,428"
Bryan University,3215 LeMone Industrial Boulevard,MO,65201,private for profit,Boone,38.915735,-92.292597,0,121,121,33,Junior Colleges,3.6666666666666665,"57,946","6,137,428"
Victory Trade School,1715 N Boonville Ave,MO,65803,private non-profit,Greene,37.22932,-93.292274,0,51,51,15,Other Technical and Trade Schools,3.4,"57,946","6,137,428"
Cosmetology College of Franklin County,570 S Main St,MO,63077,private for profit,Franklin,38.34412,-90.981602,0,22,22,3,Cosmetology and Barber Schools,7.333333333333333,"57,946","6,137,428"
American Trade School,3925 Industrial Drive,MO,63074,private for profit,St. Louis,38.728761,-90.380252,0,86,86,16,Other Technical and Trade Schools,5.375,"57,946","6,137,428"
Skin Institute,25 Ronnies Plaza,MO,63126,private for profit,St. Louis,38.527717,-90.364232,0,56,56,9,Cosmetology and Barber Schools,6.222222222222222,"57,946","6,137,428"
The Salon Professional Academy,3141 West Clay Street,MO,63301,private for profit,St. Charles,38.788891,-90.538719,7,88,95,10,Cosmetology and Barber Schools,9.5,"57,946","6,137,428"
Seymour Beauty Academy,209 South Commercial Street,MO,65746,private for profit,Webster,37.146879,-92.769784,3,33,36,5,Cosmetology and Barber Schools,7.2,"57,946","6,137,428"
Brown Mackie College-St Louis,2 Soccer Park Rd,MO,63026,private for profit,St. Louis,38.544359,-90.436565,0,526,526,69,"Colleges, Universities, and Professional Schools",7.623188405797101,"57,946","6,137,428"
Paul Mitchell The School St Louis,30 Maryland Plaza Suite 200,MO,63108,private for profit,St. Louis,38.644782,-90.262915,19,66,85,31,Cosmetology and Barber Schools,2.7419354838709675,"57,946","6,137,428"
National American University-Lee's Summit,401 North West Murray Road,MO,64081,private for profit,Jackson,38.919788,-94.402645,350,20,370,23,"Colleges, Universities, and Professional Schools",16.08695652173913,"57,946","6,137,428"
Chamberlain College of Nursing-Missouri,"11830 Westline Industrial Dr., Ste. 106",MO,63146,private for profit,St. Louis,38.701907,-90.436283,6674,1278,7952,100,"Colleges, Universities, and Professional Schools",79.52,"57,946","6,137,428"
Regency Beauty Institute-Springfield,"1415 E Battlefield, Unit 1415",MO,65804,private for profit,Greene,37.162325,-93.269,16,44,60,6,Cosmetology and Barber Schools,10.0,"57,946","6,137,428"
