NAME,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,ADDRESS,STATE,ZIP,TYPE,COUNTY,LATITUDE,LONGITUDE,PT_ENROLL,FT_ENROLL,TOT_ENROLL,TOT_EMPLOY,NAICS_DESC,EMPLOYEE/STUDENT RATIO,INCOME
Randolph-Macon College,Party,"$42,600.00","$83,600.00",,"$54,100.00","$123,000.00",,204 Henry St,VA,23005,private non-profit,Hanover,37.760785,-77.4781,26,1286,1312,432,"Colleges, Universities, and Professional Schools",3.037037037037037,"63,858"
Randolph-Macon College,Liberal Arts,"$42,600.00","$83,600.00",,"$54,100.00","$123,000.00",,204 Henry St,VA,23005,private non-profit,Hanover,37.760785,-77.4781,26,1286,1312,432,"Colleges, Universities, and Professional Schools",3.037037037037037,"63,858"
University of Alabama,Party,"$41,300.00","$81,400.00","$40,100.00","$56,500.00","$117,000.00","$161,000.00",739 University Blvd,AL,35487,public,Tuscaloosa,33.2144,-87.545766,4745,28758,33503,6034,"Colleges, Universities, and Professional Schools",5.5523699038780245,"43,418"
University of Alabama,State,"$41,300.00","$81,400.00","$40,100.00","$56,500.00","$117,000.00","$161,000.00",739 University Blvd,AL,35487,public,Tuscaloosa,33.2144,-87.545766,4745,28758,33503,6034,"Colleges, Universities, and Professional Schools",5.5523699038780245,"43,418"
University of Mississippi,Party,"$41,400.00","$79,700.00","$40,400.00","$53,500.00","$108,000.00","$186,000.00","Oxford, Mississippi",MS,38677,public,Lafayette,34.363438,-89.537169,1845,16949,18794,2783,"Colleges, Universities, and Professional Schools",6.753144089112468,"37,800"
University of Mississippi,State,"$41,400.00","$79,700.00","$40,400.00","$53,500.00","$108,000.00","$186,000.00","Oxford, Mississippi",MS,38677,public,Lafayette,34.363438,-89.537169,1845,16949,18794,2783,"Colleges, Universities, and Professional Schools",6.753144089112468,"37,800"
University of New Hampshire,Party,"$41,800.00","$78,300.00","$41,700.00","$56,400.00","$114,000.00","$147,000.00","105 Main St., Thompson Hall",NH,3824,public,Strafford,43.134235,-70.934512,1702,13603,15305,3574,"Colleges, Universities, and Professional Schools",4.282316731952994,"74,579"
University of New Hampshire,State,"$41,800.00","$78,300.00","$41,700.00","$56,400.00","$114,000.00","$147,000.00","105 Main St., Thompson Hall",NH,3824,public,Strafford,43.134235,-70.934512,1702,13603,15305,3574,"Colleges, Universities, and Professional Schools",4.282316731952994,"74,579"
West Virginia University,Party,"$43,100.00","$78,100.00","$39,700.00","$55,700.00","$106,000.00","$141,000.00","Stewart Hall, 1500 University Avenue",WV,26506,public,Monongalia,39.63468,-79.953926,3770,25930,29700,6622,"Colleges, Universities, and Professional Schools",4.485049833887043,"41,210"
West Virginia University,State,"$43,100.00","$78,100.00","$39,700.00","$55,700.00","$106,000.00","$141,000.00","Stewart Hall, 1500 University Avenue",WV,26506,public,Monongalia,39.63468,-79.953926,3770,25930,29700,6622,"Colleges, Universities, and Professional Schools",4.485049833887043,"41,210"
University of Tennessee,Party,"$43,800.00","$74,600.00","$41,900.00","$53,200.00","$106,000.00","$153,000.00",527 Andy Holt Tower,TN,37996,public,Knox,35.955093,-83.929696,3755,26078,29833,13646,"Colleges, Universities, and Professional Schools",2.1862084127216765,"45,548"
University of Tennessee,State,"$43,800.00","$74,600.00","$41,900.00","$53,200.00","$106,000.00","$153,000.00",527 Andy Holt Tower,TN,37996,public,Knox,35.955093,-83.929696,3755,26078,29833,13646,"Colleges, Universities, and Professional Schools",2.1862084127216765,"45,548"
Ohio University,Party,"$42,200.00","$73,400.00","$36,600.00","$52,800.00","$106,000.00","$150,000.00",020 Chubb Hall,OH,45701,public,Athens,39.323839,-82.103503,7505,19558,27063,3875,"Colleges, Universities, and Professional Schools",6.984,"51,501"
Ohio University,State,"$42,200.00","$73,400.00","$36,600.00","$52,800.00","$106,000.00","$150,000.00",020 Chubb Hall,OH,45701,public,Athens,39.323839,-82.103503,7505,19558,27063,3875,"Colleges, Universities, and Professional Schools",6.984,"51,501"
Florida State University,Party,"$42,100.00","$73,000.00","$39,600.00","$52,800.00","$107,000.00","$156,000.00",222 S. Copeland Street,FL,32306,public,Leon,30.443222,-84.301554,6023,34672,40695,6725,"Colleges, Universities, and Professional Schools",6.051301115241635,"47,509"
Florida State University,State,"$42,100.00","$73,000.00","$39,600.00","$52,800.00","$107,000.00","$156,000.00",222 S. Copeland Street,FL,32306,public,Leon,30.443222,-84.301554,6023,34672,40695,6725,"Colleges, Universities, and Professional Schools",6.051301115241635,"47,509"
Bucknell University,Liberal Arts,"$54,100.00","$110,000.00","$62,800.00","$80,600.00","$156,000.00","$251,000.00",One Dent Drive,PA,17837,private non-profit,Union,40.953704,-76.885192,46,3572,3618,1241,"Colleges, Universities, and Professional Schools",2.9153908138597906,"57,812"
Colgate University,Liberal Arts,"$52,800.00","$108,000.00","$60,000.00","$76,700.00","$167,000.00","$265,000.00",13 Oak Dr,NY,13346,private non-profit,Madison,42.818175,-75.535218,26,2860,2886,969,"Colleges, Universities, and Professional Schools",2.978328173374613,"56,189"
Amherst College,Liberal Arts,"$54,500.00","$107,000.00",,"$84,900.00","$162,000.00",,Boltwood Avenue,MA,1002,private non-profit,Hampshire,42.372459,-72.518493,0,1822,1822,860,"Colleges, Universities, and Professional Schools",2.1186046511627907,"65,542"
Lafayette College,Liberal Arts,"$53,900.00","$107,000.00","$70,600.00","$79,300.00","$144,000.00","$204,000.00",High St,PA,18042,private non-profit,Northampton,40.699513,-75.211342,50,2438,2488,852,"Colleges, Universities, and Professional Schools",2.92018779342723,"57,812"
Bowdoin College,Liberal Arts,"$48,100.00","$107,000.00",,"$74,600.00","$146,000.00",,5700 College Station - President's Office,ME,4011,private non-profit,Cumberland,43.907134,-69.963942,8,1831,1839,981,"Colleges, Universities, and Professional Schools",1.874617737003058,"51,263"
College of the Holy Cross,Liberal Arts,"$50,200.00","$106,000.00",,"$65,600.00","$143,000.00",,One College Street,MA,1610,private non-profit,Worcester,42.238942,-71.808627,35,2891,2926,1170,"Colleges, Universities, and Professional Schools",2.500854700854701,"65,542"
Occidental College,Liberal Arts,"$51,900.00","$105,000.00",,"$54,800.00","$157,000.00",,1600 Campus Rd,CA,90041,private non-profit,Los Angeles,34.126224,-118.210783,23,2179,2202,701,"Colleges, Universities, and Professional Schools",3.1412268188302424,"62,096"
Washington and Lee University,Liberal Arts,"$53,600.00","$104,000.00",,"$82,800.00","$146,000.00",,204 West Washington Street,VA,24450,private non-profit,Lexington,37.788974,-79.442869,3,2293,2296,883,"Colleges, Universities, and Professional Schools",2.6002265005662517,"63,858"
Swarthmore College,Liberal Arts,"$49,700.00","$104,000.00",,"$67,200.00","$167,000.00",,500 College Ave,PA,19081,private non-profit,Delaware,39.905986,-75.351639,15,1537,1552,964,"Colleges, Universities, and Professional Schools",1.6099585062240664,"57,812"
Davidson College,Liberal Arts,"$46,100.00","$104,000.00",,"$70,500.00","$146,000.00",,102 N. Main Street,NC,28035,private non-profit,Mecklenburg,35.500006,-80.845236,0,1791,1791,840,"Colleges, Universities, and Professional Schools",2.132142857142857,"48,818"
Carleton College,Liberal Arts,"$47,500.00","$103,000.00",,"$69,400.00","$141,000.00",,One North College Street,MN,55057,private non-profit,Rice,44.462304,-93.154662,18,2037,2055,771,"Colleges, Universities, and Professional Schools",2.6653696498054478,"68,026"
